STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
ARUNACHAL PRADESH,KAMENG EAST,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,OTHER RAPE,2,East
ARUNACHAL PRADESH,KAMENG EAST,2001,KIDNAPPING & ABDUCTION,7,East
ARUNACHAL PRADESH,KAMENG EAST,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,5,East
ARUNACHAL PRADESH,KAMENG EAST,2001,KIDNAPPING AND ABDUCTION OF OTHERS,2,East
ARUNACHAL PRADESH,KAMENG EAST,2001,DACOITY,1,East
ARUNACHAL PRADESH,KAMENG EAST,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,ROBBERY,6,East
ARUNACHAL PRADESH,KAMENG EAST,2001,BURGLARY,8,East
ARUNACHAL PRADESH,KAMENG EAST,2001,THEFT,26,East
ARUNACHAL PRADESH,KAMENG EAST,2001,AUTO THEFT,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,OTHER THEFT,26,East
ARUNACHAL PRADESH,KAMENG EAST,2001,RIOTS,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,CRIMINAL BREACH OF TRUST,1,East
ARUNACHAL PRADESH,KAMENG EAST,2001,CHEATING,1,East
ARUNACHAL PRADESH,KAMENG EAST,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,ARSON,1,East
ARUNACHAL PRADESH,KAMENG EAST,2001,HURT/GREVIOUS HURT,36,East
ARUNACHAL PRADESH,KAMENG EAST,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5,East
ARUNACHAL PRADESH,KAMENG EAST,2001,INSULT TO MODESTY OF WOMEN,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,KAMENG EAST,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,MURDER,4,East
ARUNACHAL PRADESH,KAMENG WEST,2001,ATTEMPT TO MURDER,2,East
ARUNACHAL PRADESH,KAMENG WEST,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,RAPE,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,OTHER RAPE,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,KIDNAPPING & ABDUCTION,2,East
ARUNACHAL PRADESH,KAMENG WEST,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2,East
ARUNACHAL PRADESH,KAMENG WEST,2001,KIDNAPPING AND ABDUCTION OF OTHERS,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,DACOITY,1,East
ARUNACHAL PRADESH,KAMENG WEST,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,ROBBERY,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,BURGLARY,6,East
ARUNACHAL PRADESH,KAMENG WEST,2001,THEFT,26,East
ARUNACHAL PRADESH,KAMENG WEST,2001,AUTO THEFT,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,OTHER THEFT,26,East
ARUNACHAL PRADESH,KAMENG WEST,2001,RIOTS,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,CRIMINAL BREACH OF TRUST,1,East
ARUNACHAL PRADESH,KAMENG WEST,2001,CHEATING,4,East
ARUNACHAL PRADESH,KAMENG WEST,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,ARSON,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,HURT/GREVIOUS HURT,27,East
ARUNACHAL PRADESH,KAMENG WEST,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,INSULT TO MODESTY OF WOMEN,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,KAMENG WEST,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,LOHIT,2001,MURDER,16,East
ARUNACHAL PRADESH,LOHIT,2001,ATTEMPT TO MURDER,6,East
ARUNACHAL PRADESH,LOHIT,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1,East
ARUNACHAL PRADESH,LOHIT,2001,RAPE,2,East
ARUNACHAL PRADESH,LOHIT,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,LOHIT,2001,OTHER RAPE,2,East
ARUNACHAL PRADESH,LOHIT,2001,KIDNAPPING & ABDUCTION,6,East
ARUNACHAL PRADESH,LOHIT,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,6,East
ARUNACHAL PRADESH,LOHIT,2001,KIDNAPPING AND ABDUCTION OF OTHERS,0,East
ARUNACHAL PRADESH,LOHIT,2001,DACOITY,2,East
ARUNACHAL PRADESH,LOHIT,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,LOHIT,2001,ROBBERY,8,East
ARUNACHAL PRADESH,LOHIT,2001,BURGLARY,20,East
ARUNACHAL PRADESH,LOHIT,2001,THEFT,31,East
ARUNACHAL PRADESH,LOHIT,2001,AUTO THEFT,0,East
ARUNACHAL PRADESH,LOHIT,2001,OTHER THEFT,31,East
ARUNACHAL PRADESH,LOHIT,2001,RIOTS,3,East
ARUNACHAL PRADESH,LOHIT,2001,CRIMINAL BREACH OF TRUST,5,East
ARUNACHAL PRADESH,LOHIT,2001,CHEATING,2,East
ARUNACHAL PRADESH,LOHIT,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,LOHIT,2001,ARSON,2,East
ARUNACHAL PRADESH,LOHIT,2001,HURT/GREVIOUS HURT,40,East
ARUNACHAL PRADESH,LOHIT,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,LOHIT,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8,East
ARUNACHAL PRADESH,LOHIT,2001,INSULT TO MODESTY OF WOMEN,0,East
ARUNACHAL PRADESH,LOHIT,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,0,East
ARUNACHAL PRADESH,LOHIT,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,LOHIT,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,PAPUM PARE,2001,MURDER,11,East
ARUNACHAL PRADESH,PAPUM PARE,2001,ATTEMPT TO MURDER,8,East
ARUNACHAL PRADESH,PAPUM PARE,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,East
ARUNACHAL PRADESH,PAPUM PARE,2001,RAPE,9,East
ARUNACHAL PRADESH,PAPUM PARE,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,PAPUM PARE,2001,OTHER RAPE,9,East
ARUNACHAL PRADESH,PAPUM PARE,2001,KIDNAPPING & ABDUCTION,15,East
ARUNACHAL PRADESH,PAPUM PARE,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,5,East
ARUNACHAL PRADESH,PAPUM PARE,2001,KIDNAPPING AND ABDUCTION OF OTHERS,10,East
ARUNACHAL PRADESH,PAPUM PARE,2001,DACOITY,4,East
ARUNACHAL PRADESH,PAPUM PARE,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,PAPUM PARE,2001,ROBBERY,29,East
ARUNACHAL PRADESH,PAPUM PARE,2001,BURGLARY,59,East
ARUNACHAL PRADESH,PAPUM PARE,2001,THEFT,109,East
ARUNACHAL PRADESH,PAPUM PARE,2001,AUTO THEFT,29,East
ARUNACHAL PRADESH,PAPUM PARE,2001,OTHER THEFT,80,East
ARUNACHAL PRADESH,PAPUM PARE,2001,RIOTS,9,East
