STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
HARYANA,FARIDABAD,2001,INSULT TO MODESTY OF WOMEN,242,North
HARYANA,FARIDABAD,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,108,North
HARYANA,FARIDABAD,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,FARIDABAD,2001,CAUSING DEATH BY NEGLIGENCE,18,North
HARYANA,FATEHABAD,2001,MURDER,18,North
HARYANA,FATEHABAD,2001,ATTEMPT TO MURDER,23,North
HARYANA,FATEHABAD,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2,North
HARYANA,FATEHABAD,2001,RAPE,17,North
HARYANA,FATEHABAD,2001,CUSTODIAL RAPE,0,North
HARYANA,FATEHABAD,2001,OTHER RAPE,17,North
HARYANA,FATEHABAD,2001,KIDNAPPING & ABDUCTION,20,North
HARYANA,FATEHABAD,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,13,North
HARYANA,FATEHABAD,2001,KIDNAPPING AND ABDUCTION OF OTHERS,7,North
HARYANA,FATEHABAD,2001,DACOITY,3,North
HARYANA,FATEHABAD,2001,PREPARATION AND ASSEMBLY FOR DACOITY,5,North
HARYANA,FATEHABAD,2001,ROBBERY,11,North
HARYANA,FATEHABAD,2001,BURGLARY,96,North
HARYANA,FATEHABAD,2001,THEFT,141,North
HARYANA,FATEHABAD,2001,AUTO THEFT,61,North
HARYANA,FATEHABAD,2001,OTHER THEFT,80,North
HARYANA,FATEHABAD,2001,RIOTS,11,North
HARYANA,FATEHABAD,2001,CRIMINAL BREACH OF TRUST,1,North
HARYANA,FATEHABAD,2001,CHEATING,52,North
HARYANA,FATEHABAD,2001,COUNTERFIETING,2,North
HARYANA,FATEHABAD,2001,ARSON,6,North
HARYANA,FATEHABAD,2001,HURT/GREVIOUS HURT,210,North
HARYANA,FATEHABAD,2001,DOWRY DEATHS,17,North
HARYANA,FATEHABAD,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17,North
HARYANA,FATEHABAD,2001,INSULT TO MODESTY OF WOMEN,0,North
HARYANA,FATEHABAD,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,93,North
HARYANA,FATEHABAD,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,FATEHABAD,2001,CAUSING DEATH BY NEGLIGENCE,1,North
HARYANA,GRP,2001,MURDER,24,North
HARYANA,GRP,2001,ATTEMPT TO MURDER,3,North
HARYANA,GRP,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,North
HARYANA,GRP,2001,RAPE,0,North
HARYANA,GRP,2001,CUSTODIAL RAPE,0,North
HARYANA,GRP,2001,OTHER RAPE,0,North
HARYANA,GRP,2001,KIDNAPPING & ABDUCTION,2,North
HARYANA,GRP,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2,North
HARYANA,GRP,2001,KIDNAPPING AND ABDUCTION OF OTHERS,0,North
HARYANA,GRP,2001,DACOITY,0,North
HARYANA,GRP,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,North
HARYANA,GRP,2001,ROBBERY,5,North
HARYANA,GRP,2001,BURGLARY,1,North
HARYANA,GRP,2001,THEFT,169,North
HARYANA,GRP,2001,AUTO THEFT,35,North
HARYANA,GRP,2001,OTHER THEFT,134,North
HARYANA,GRP,2001,RIOTS,9,North
HARYANA,GRP,2001,CRIMINAL BREACH OF TRUST,1,North
HARYANA,GRP,2001,CHEATING,3,North
HARYANA,GRP,2001,COUNTERFIETING,2,North
HARYANA,GRP,2001,ARSON,0,North
HARYANA,GRP,2001,HURT/GREVIOUS HURT,11,North
HARYANA,GRP,2001,DOWRY DEATHS,5,North
HARYANA,GRP,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1,North
HARYANA,GRP,2001,INSULT TO MODESTY OF WOMEN,26,North
HARYANA,GRP,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,0,North
HARYANA,GRP,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,GRP,2001,CAUSING DEATH BY NEGLIGENCE,7,North
HARYANA,GURGAON,2001,MURDER,69,North
HARYANA,GURGAON,2001,ATTEMPT TO MURDER,30,North
HARYANA,GURGAON,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,5,North
HARYANA,GURGAON,2001,RAPE,32,North
HARYANA,GURGAON,2001,CUSTODIAL RAPE,0,North
HARYANA,GURGAON,2001,OTHER RAPE,32,North
HARYANA,GURGAON,2001,KIDNAPPING & ABDUCTION,50,North
HARYANA,GURGAON,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,32,North
HARYANA,GURGAON,2001,KIDNAPPING AND ABDUCTION OF OTHERS,18,North
HARYANA,GURGAON,2001,DACOITY,4,North
HARYANA,GURGAON,2001,PREPARATION AND ASSEMBLY FOR DACOITY,15,North
HARYANA,GURGAON,2001,ROBBERY,51,North
HARYANA,GURGAON,2001,BURGLARY,294,North
HARYANA,GURGAON,2001,THEFT,794,North
HARYANA,GURGAON,2001,AUTO THEFT,435,North
HARYANA,GURGAON,2001,OTHER THEFT,359,North
HARYANA,GURGAON,2001,RIOTS,78,North
HARYANA,GURGAON,2001,CRIMINAL BREACH OF TRUST,55,North
HARYANA,GURGAON,2001,CHEATING,29,North
HARYANA,GURGAON,2001,COUNTERFIETING,2,North
HARYANA,GURGAON,2001,ARSON,20,North
HARYANA,GURGAON,2001,HURT/GREVIOUS HURT,244,North
HARYANA,GURGAON,2001,DOWRY DEATHS,17,North
HARYANA,GURGAON,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,21,North
HARYANA,GURGAON,2001,INSULT TO MODESTY OF WOMEN,21,North
HARYANA,GURGAON,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,136,North
HARYANA,GURGAON,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,GURGAON,2001,CAUSING DEATH BY NEGLIGENCE,5,North
HARYANA,HISSAR,2001,MURDER,45,North
HARYANA,HISSAR,2001,ATTEMPT TO MURDER,53,North
HARYANA,HISSAR,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,7,North
HARYANA,HISSAR,2001,RAPE,10,North
HARYANA,HISSAR,2001,CUSTODIAL RAPE,0,North
HARYANA,HISSAR,2001,OTHER RAPE,10,North
HARYANA,HISSAR,2001,KIDNAPPING & ABDUCTION,26,North
HARYANA,HISSAR,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,18,North
HARYANA,HISSAR,2001,KIDNAPPING AND ABDUCTION OF OTHERS,8,North
HARYANA,HISSAR,2001,DACOITY,2,North
HARYANA,HISSAR,2001,PREPARATION AND ASSEMBLY FOR DACOITY,11,North
HARYANA,HISSAR,2001,ROBBERY,27,North
HARYANA,HISSAR,2001,BURGLARY,244,North
HARYANA,HISSAR,2001,THEFT,438,North
HARYANA,HISSAR,2001,AUTO THEFT,258,North
HARYANA,HISSAR,2001,OTHER THEFT,180,North
HARYANA,HISSAR,2001,RIOTS,28,North
HARYANA,HISSAR,2001,CRIMINAL BREACH OF TRUST,23,North
HARYANA,HISSAR,2001,CHEATING,159,North
HARYANA,HISSAR,2001,COUNTERFIETING,2,North
HARYANA,HISSAR,2001,ARSON,8,North
HARYANA,HISSAR,2001,HURT/GREVIOUS HURT,392,North
HARYANA,HISSAR,2001,DOWRY DEATHS,24,North
HARYANA,HISSAR,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,33,North
HARYANA,HISSAR,2001,INSULT TO MODESTY OF WOMEN,0,North
HARYANA,HISSAR,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,117,North
HARYANA,HISSAR,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,HISSAR,2001,CAUSING DEATH BY NEGLIGENCE,4,North
HARYANA,JHAJJAR,2001,MURDER,48,North
HARYANA,JHAJJAR,2001,ATTEMPT TO MURDER,28,North
HARYANA,JHAJJAR,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2,North
HARYANA,JHAJJAR,2001,RAPE,21,North
HARYANA,JHAJJAR,2001,CUSTODIAL RAPE,0,North
HARYANA,JHAJJAR,2001,OTHER RAPE,21,North
HARYANA,JHAJJAR,2001,KIDNAPPING & ABDUCTION,14,North
HARYANA,JHAJJAR,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,8,North
HARYANA,JHAJJAR,2001,KIDNAPPING AND ABDUCTION OF OTHERS,6,North
HARYANA,JHAJJAR,2001,DACOITY,2,North
HARYANA,JHAJJAR,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,North
HARYANA,JHAJJAR,2001,ROBBERY,25,North
HARYANA,JHAJJAR,2001,BURGLARY,98,North
HARYANA,JHAJJAR,2001,THEFT,183,North
HARYANA,JHAJJAR,2001,AUTO THEFT,66,North
HARYANA,JHAJJAR,2001,OTHER THEFT,117,North
HARYANA,JHAJJAR,2001,RIOTS,68,North
HARYANA,JHAJJAR,2001,CRIMINAL BREACH OF TRUST,21,North
HARYANA,JHAJJAR,2001,CHEATING,50,North
HARYANA,JHAJJAR,2001,COUNTERFIETING,1,North
HARYANA,JHAJJAR,2001,ARSON,0,North
HARYANA,JHAJJAR,2001,HURT/GREVIOUS HURT,193,North
HARYANA,JHAJJAR,2001,DOWRY DEATHS,20,North
HARYANA,JHAJJAR,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,42,North
HARYANA,JHAJJAR,2001,INSULT TO MODESTY OF WOMEN,13,North
HARYANA,JHAJJAR,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,122,North
HARYANA,JHAJJAR,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,JHAJJAR,2001,CAUSING DEATH BY NEGLIGENCE,84,North
HARYANA,JIND,2001,MURDER,37,North
HARYANA,JIND,2001,ATTEMPT TO MURDER,21,North
HARYANA,JIND,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,6,North
HARYANA,JIND,2001,RAPE,21,North
HARYANA,JIND,2001,CUSTODIAL RAPE,0,North
HARYANA,JIND,2001,OTHER RAPE,21,North
HARYANA,JIND,2001,KIDNAPPING & ABDUCTION,12,North
HARYANA,JIND,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,8,North
HARYANA,JIND,2001,KIDNAPPING AND ABDUCTION OF OTHERS,4,North
HARYANA,JIND,2001,DACOITY,2,North
HARYANA,JIND,2001,PREPARATION AND ASSEMBLY FOR DACOITY,28,North
HARYANA,JIND,2001,ROBBERY,28,North
HARYANA,JIND,2001,BURGLARY,151,North
HARYANA,JIND,2001,THEFT,148,North
HARYANA,JIND,2001,AUTO THEFT,66,North
HARYANA,JIND,2001,OTHER THEFT,82,North
HARYANA,JIND,2001,RIOTS,71,North
HARYANA,JIND,2001,CRIMINAL BREACH OF TRUST,66,North
HARYANA,JIND,2001,CHEATING,51,North
HARYANA,JIND,2001,COUNTERFIETING,3,North
HARYANA,JIND,2001,ARSON,2,North
HARYANA,JIND,2001,HURT/GREVIOUS HURT,160,North
HARYANA,JIND,2001,DOWRY DEATHS,11,North
HARYANA,JIND,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,22,North
HARYANA,JIND,2001,INSULT TO MODESTY OF WOMEN,29,North
HARYANA,JIND,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,67,North
HARYANA,JIND,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,JIND,2001,CAUSING DEATH BY NEGLIGENCE,4,North
HARYANA,KAITHAL,2001,MURDER,33,North
HARYANA,KAITHAL,2001,ATTEMPT TO MURDER,15,North
HARYANA,KAITHAL,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,8,North
HARYANA,KAITHAL,2001,RAPE,16,North
HARYANA,KAITHAL,2001,CUSTODIAL RAPE,0,North
HARYANA,KAITHAL,2001,OTHER RAPE,16,North
HARYANA,KAITHAL,2001,KIDNAPPING & ABDUCTION,9,North
HARYANA,KAITHAL,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,8,North
HARYANA,KAITHAL,2001,KIDNAPPING AND ABDUCTION OF OTHERS,1,North
HARYANA,KAITHAL,2001,DACOITY,3,North
HARYANA,KAITHAL,2001,PREPARATION AND ASSEMBLY FOR DACOITY,4,North
HARYANA,KAITHAL,2001,ROBBERY,9,North
HARYANA,KAITHAL,2001,BURGLARY,103,North
HARYANA,KAITHAL,2001,THEFT,144,North
HARYANA,KAITHAL,2001,AUTO THEFT,66,North
HARYANA,KAITHAL,2001,OTHER THEFT,78,North
HARYANA,KAITHAL,2001,RIOTS,0,North
HARYANA,KAITHAL,2001,CRIMINAL BREACH OF TRUST,60,North
HARYANA,KAITHAL,2001,CHEATING,16,North
HARYANA,KAITHAL,2001,COUNTERFIETING,1,North
HARYANA,KAITHAL,2001,ARSON,28,North
HARYANA,KAITHAL,2001,HURT/GREVIOUS HURT,216,North
HARYANA,KAITHAL,2001,DOWRY DEATHS,9,North
HARYANA,KAITHAL,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,North
HARYANA,KAITHAL,2001,INSULT TO MODESTY OF WOMEN,0,North
HARYANA,KAITHAL,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,105,North
HARYANA,KAITHAL,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,KAITHAL,2001,CAUSING DEATH BY NEGLIGENCE,1,North
HARYANA,KARNAL,2001,MURDER,42,North
HARYANA,KARNAL,2001,ATTEMPT TO MURDER,24,North
HARYANA,KARNAL,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,7,North
HARYANA,KARNAL,2001,RAPE,44,North
HARYANA,KARNAL,2001,CUSTODIAL RAPE,0,North
HARYANA,KARNAL,2001,OTHER RAPE,44,North
HARYANA,KARNAL,2001,KIDNAPPING & ABDUCTION,31,North
HARYANA,KARNAL,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,10,North
HARYANA,KARNAL,2001,KIDNAPPING AND ABDUCTION OF OTHERS,21,North
HARYANA,KARNAL,2001,DACOITY,8,North
HARYANA,KARNAL,2001,PREPARATION AND ASSEMBLY FOR DACOITY,3,North
HARYANA,KARNAL,2001,ROBBERY,16,North
HARYANA,KARNAL,2001,BURGLARY,208,North
HARYANA,KARNAL,2001,THEFT,468,North
HARYANA,KARNAL,2001,AUTO THEFT,194,North
HARYANA,KARNAL,2001,OTHER THEFT,274,North
HARYANA,KARNAL,2001,RIOTS,47,North
HARYANA,KARNAL,2001,CRIMINAL BREACH OF TRUST,20,North
HARYANA,KARNAL,2001,CHEATING,59,North
HARYANA,KARNAL,2001,COUNTERFIETING,2,North
HARYANA,KARNAL,2001,ARSON,11,North
HARYANA,KARNAL,2001,HURT/GREVIOUS HURT,726,North
HARYANA,KARNAL,2001,DOWRY DEATHS,18,North
HARYANA,KARNAL,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,28,North
HARYANA,KARNAL,2001,INSULT TO MODESTY OF WOMEN,2,North
HARYANA,KARNAL,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,97,North
HARYANA,KARNAL,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,KARNAL,2001,CAUSING DEATH BY NEGLIGENCE,187,North
HARYANA,KURUKSHETRA,2001,MURDER,20,North
HARYANA,KURUKSHETRA,2001,ATTEMPT TO MURDER,8,North
HARYANA,KURUKSHETRA,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,4,North
HARYANA,KURUKSHETRA,2001,RAPE,31,North
HARYANA,KURUKSHETRA,2001,CUSTODIAL RAPE,0,North
HARYANA,KURUKSHETRA,2001,OTHER RAPE,31,North
HARYANA,KURUKSHETRA,2001,KIDNAPPING & ABDUCTION,14,North
HARYANA,KURUKSHETRA,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,14,North
HARYANA,KURUKSHETRA,2001,KIDNAPPING AND ABDUCTION OF OTHERS,0,North
HARYANA,KURUKSHETRA,2001,DACOITY,5,North
HARYANA,KURUKSHETRA,2001,PREPARATION AND ASSEMBLY FOR DACOITY,4,North
HARYANA,KURUKSHETRA,2001,ROBBERY,13,North
HARYANA,KURUKSHETRA,2001,BURGLARY,132,North
HARYANA,KURUKSHETRA,2001,THEFT,343,North
HARYANA,KURUKSHETRA,2001,AUTO THEFT,131,North
HARYANA,KURUKSHETRA,2001,OTHER THEFT,212,North
HARYANA,KURUKSHETRA,2001,RIOTS,0,North
HARYANA,KURUKSHETRA,2001,CRIMINAL BREACH OF TRUST,20,North
HARYANA,KURUKSHETRA,2001,CHEATING,130,North
